Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,> 40,> 1½,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,55 [380] Type 1,---,---,≤ 40,≤ 1½,0.25,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 50,1½ < t ≤ 2,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,55 [380] Type 2,---,---,≤ 40,≤ 1½,0.25,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 50,1½ < t ≤ 2,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,55 [380] Type 3,---,---,≤ 40,≤ 1½,0.25,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 50,1½ < t ≤ 2,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,55 [380] Type 4,---,---,≤ 40,≤ 1½,0.25,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 50,1½ < t ≤ 2,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,55 [380] Type 5,---,---,≤ 40,≤ 1½,0.25,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; N 0.003-0.015; V 0.06
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,40 < t ≤ 50,1½ < t ≤ 2,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,60 [415] Type 3,---,---,≤ 40,≤ 1½,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.08; N 0.020; Cb 0.008-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,60 [415] Type 7,---,---,≤ 40,≤ 1½,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.15; N 0.020; Cb 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 588/A 588M-03a,A,---,K11430,≤ 200,≤ 8,0.19,0.80-1.25,0.30-0.65,0.04,0.05,0.40-0.65,0.40,---,Cu 0.25-0.40; V 0.02-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 588/A 588M-03a,B,---,K12043,≤ 200,≤ 8,0.20,0.75-1.35,0.15-0.50,0.04,0.05,0.40-0.70,0.50,---,Cu 0.20-0.40; V 0.01-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 588/A 588M-03a,C,---,K11538,≤ 200,≤ 8,0.15,0.80-1.35,0.15-0.40,0.04,0.05,0.30-0.50,0.25-0.50,---,Cu 0.20-0.50; V 0.01-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 588/A 588M-03a,K,---,---,≤ 200,≤ 8,0.17,0.50-1.20,0.25-0.50,0.04,0.05,0.40-0.70,0.40,0.10,Cu 0.30-0.50; Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 633/A 633M-01,C,---,K12000,≤ 100,≤ 4,0.20,1.15-1.50,0.15-0.50,0.035,0.04,---,---,---,Cb 0.01-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 633/A 633M-01,D,---,K12037,≤ 40,≤ 1½,0.20,0.70-1.35,0.15-0.50,0.035,0.04,0.25,0.25,0.08,Cu 0.35
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 633/A 633M-01,,,,40 < t ≤ 100,1½ < t ≤ 4,0.20,1.00-1.60,0.15-0.50,0.035,0.04,0.25,0.25,0.08,Cu 0.35
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-3:1993,S420M,1.8825,---,≤ 63,---,0.16,1.70,0.50,0.035,0.030,---,0.30,0.20,Nb 0.05; V 0.12; Al 0.02 min; Ti 0.05; N 0.020
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,EN 10113-3:1993,S420ML,1.8836,---,≤ 63,---,0.16,1.70,0.50,0.030,0.025,---,0.30,0.20,Nb 0.05; V 0.12; Al 0.02 min; Ti 0.05; N 0.020
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,60 [415] Type 1,---,---,32,1¼,0.26,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,60 [415] Type 2,---,---,32,1¼,0.26,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,60 [415] Type 3,---,---,32,1¼,0.26,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,60 [415] Type 4,---,---,32,1¼,0.26,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,60 [415] Type 5,---,---,32,1¼,0.26,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; N 0.003-0.015; V 0.06
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,400WT (60WT),---,---,---,---,0.22,0.80-1.50,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,400W (60W),---,---,≤ 40,≤ 1½,0.23,0.50-1.50,0.40,0.04,0.05,---,---,---,grain refining elements 0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,CSA G40.21-04,,,,> 40,> 1½,,,0.15-0.40,,,,,,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,65 [450] Type 1,---,---,≤ 13,≤ ½,0.26,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,> 13-32,> ½-1¼,0.23,1.65,0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,65 [450] Type 2,---,---,≤ 13,≤ ½,0.26,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,> 13-32,> ½-1¼,0.23,1.65,0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,65 [450] Type 3,---,---,≤ 13,≤ ½,0.26,1.35,0.40,0.04,0.05,---,---,---,Cb 0.005-0.05; V 0.01-0.15; Cb + V 0.02-0.15
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,> 13-32,> ½-1¼,0.23,1.65,0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,65 [450] Type 4,---,---,≤ 13,≤ ½,0.26,1.35,0.40,0.04,0.05,---,---,---,V 0.01-0.15; N 0.015
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,> 13-32,> ½-1¼,0.23,1.65,0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,65 [450] Type 5,---,---,≤ 13,≤ ½,0.26,1.35,0.40,0.04,0.05,---,---,---,Ti 0.006-0.04; N 0.003-0.015; V 0.06
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 572/A 572M-03a,,,,> 13-32,> ½-1¼,0.23,1.65,0.40,0.04,0.05,---,---,---,
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 633/A 633M-01,E,---,K12202,≤ 150,≤ 6,0.22,1.15-1.50,0.15-0.50,0.035,0.04,---,---,---,V 0.04-0.11; N 0.03
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,70 [485] Type 3,---,---,≤ 25,≤ 1,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.08; N 0.020; Cb 0.008-0.10
3.2.1B Chemical Composition of High-Strength Low-Alloy Structural Steel Plates,ASTM A 656/A 656M-03,70 [485] Type 7,---,---,≤ 25,≤ 1,0.18,1.65,0.60,0.025,0.035,---,---,---,V 0.15; N 0.020; Cb 0.10
